event_sub_title,market_subtitle,market_result
"On Oct 31, 2024",86° to 87°,yes
"On Nov 1, 2024",80° or below,yes
"On Nov 2, 2024",82° to 83°,yes
"On Nov 3, 2024",88° to 89°,yes
"On Nov 4, 2024",88° or above,yes
"On Nov 5, 2024",73° to 74°,yes
"On Nov 6, 2024",80° to 81°,yes
"On Nov 7, 2024",84° or above,yes
"On Nov 8, 2024",85° or above,yes
"On Nov 9, 2024",79° or above,yes
"On Nov 10, 2024",86° or above,yes
"On Nov 11, 2024",85° or above,yes
"On Nov 12, 2024",82° to 83°,yes
"On Nov 13, 2024",87° to 88°,yes
"On Nov 14, 2024",76° to 77°,yes
"On Nov 15, 2024",77° to 78°,yes
"On Nov 16, 2024",82° to 83°,yes
"On Nov 17, 2024",86° to 87°,yes
"On Nov 18, 2024",79° to 80°,yes
"On Nov 19, 2024",85° or above,yes
"On Nov 20, 2024",69° to 70°,yes
"On Nov 21, 2024",73° to 74°,yes
"On Nov 22, 2024",78° or above,yes
"On Nov 23, 2024",78° to 79°,yes
"On Nov 24, 2024",83° to 84°,yes
"On Nov 25, 2024",85° to 86°,yes
"On Nov 26, 2024",65° to 66°,yes
"On Nov 27, 2024",80° to 81°,yes
"On Nov 28, 2024",62° to 63°,yes
"On Nov 29, 2024",60° to 61°,yes
"On Nov 30, 2024",65° to 66°,yes
"On Dec 1, 2024",70° to 71°,yes
"On Dec 2, 2024",68° to 69°,yes
"On Dec 3, 2024",65° to 66°,yes
"On Dec 4, 2024",59° or below,yes
"On Dec 5, 2024",61° to 62°,yes
"On Dec 6, 2024",53° to 54°,yes
"On Dec 7, 2024",47° to 48°,yes
"On Dec 8, 2024",61° to 62°,yes
"On Dec 9, 2024",84° to 85°,yes
"On Dec 10, 2024",62° to 63°,yes
"On Dec 11, 2024",63° to 64°,yes
"On Dec 12, 2024",66° to 67°,yes
"On Dec 13, 2024",67° to 68°,yes
"On Dec 14, 2024",80° or above,yes
"On Dec 15, 2024",81° or above,yes
"On Dec 16, 2024",81° or above,yes
"On Dec 17, 2024",80° to 81°,yes
"On Dec 18, 2024",70° to 71°,yes
"On Dec 19, 2024",68° to 69°,yes
"On Dec 20, 2024",68° to 69°,yes
"On Dec 21, 2024",63° to 64°,yes
"On Dec 22, 2024",70° or above,yes
"On Dec 23, 2024",77° to 78°,yes
"On Dec 24, 2024",77° to 78°,yes
"On Dec 25, 2024",63° or below,yes
"On Dec 26, 2024",79° or above,yes
"On Dec 27, 2024",81° or above,yes
"On Dec 28, 2024",82° to 83°,yes
"On Dec 29, 2024",76° to 77°,yes
"On Dec 30, 2024",85° or above,yes
"On Dec 31, 2024",68° to 69°,yes
"On Jan 1, 2025",59° to 60°,yes
"On Jan 2, 2025",62° to 63°,yes
"On Jan 3, 2025",68° to 69°,yes
"On Jan 4, 2025",73° to 74°,yes
"On Jan 5, 2025",76° or above,yes
"On Jan 6, 2025",46° to 47°,yes
"On Jan 7, 2025",48° to 49°,yes
"On Jan 8, 2025",41° to 42°,yes
"On Jan 9, 2025",40° to 41°,yes
"On Jan 10, 2025",44° to 45°,yes
"On Jan 11, 2025",59° or above,yes
"On Jan 12, 2025",63° or above,yes
"On Jan 13, 2025",58° or above,yes
"On Jan 14, 2025",55° to 56°,yes
"On Jan 15, 2025",59° or above,yes
"On Jan 16, 2025",65° to 66°,yes
"On Jan 17, 2025",62° or below,yes
"On Jan 18, 2025",61° to 62°,yes
"On Jan 19, 2025",42° to 43°,yes
"On Jan 20, 2025",34° or below,yes
"On Jan 21, 2025",37° to 38°,yes
"On Jan 22, 2025",51° to 52°,yes
"On Jan 23, 2025",55° to 56°,yes
"On Jan 24, 2025",59° to 60°,yes
"On Jan 25, 2025",59° to 60°,yes
"On Jan 26, 2025",55° to 56°,yes
"On Jan 27, 2025",53° to 54°,yes
"On Jan 28, 2025",53° or below,yes
"On Jan 29, 2025",71° to 72°,yes
"On Jan 30, 2025",69° to 70°,yes
"On Jan 31, 2025",73° to 74°,yes
"On Feb 1, 2025",76° or above,yes
"On Feb 2, 2025",80° to 81°,yes
"On Feb 3, 2025",84° or above,yes
"On Feb 4, 2025",82° to 83°,yes
"On Feb 5, 2025",78° to 79°,yes
"On Feb 6, 2025",82° to 83°,yes
"On Feb 7, 2025",80° to 81°,yes
"On Feb 8, 2025",88° to 89°,yes
"On Feb 9, 2025",70° to 71°,yes
"On Feb 10, 2025",54° or below,yes
"On Feb 11, 2025",58° or below,yes
"On Feb 12, 2025",75° or below,yes
"On Feb 13, 2025",46° to 47°,yes
"On Feb 14, 2025",48° or below,yes
"On Feb 15, 2025",72° to 73°,yes
"On Feb 16, 2025",56° to 57°,yes
"On Feb 17, 2025",63° to 64°,yes
"On Feb 18, 2025",61° to 62°,yes
"On Feb 19, 2025",35° or below,yes
"On Feb 20, 2025",36° to 37°,yes
"On Feb 21, 2025",38° to 39°,yes
"On Feb 22, 2025",42° to 43°,yes
"On Feb 23, 2025",65° or above,yes
"On Feb 24, 2025",76° or above,yes
"On Feb 25, 2025",77° to 78°,yes
"On Feb 26, 2025",81° or above,yes
"On Feb 27, 2025",68° to 69°,yes
"On Feb 28, 2025",76° or above,yes
