date,forecasted_max_temp
2024-10-31,85.9
2024-11-01,76.9
2024-11-02,82.1
2024-11-03,88.1
2024-11-04,87.2
2024-11-05,73.1
2024-11-06,81.0
2024-11-07,87.2
2024-11-08,89.1
2024-11-09,79.1
2024-11-10,87.2
2024-11-11,83.9
2024-11-12,82.1
2024-11-13,87.2
2024-11-14,75.8
2024-11-15,76.9
2024-11-16,82.1
2024-11-17,84.8
2024-11-18,79.1
2024-11-19,83.9
2024-11-20,67.9
2024-11-21,72.0
2024-11-22,76.9
2024-11-23,78.2
2024-11-24,83.0
2024-11-25,85.9
2024-11-26,65.0
2024-11-27,80.1
2024-11-28,63.0
2024-11-29,58.9
2024-11-30,65.0
2024-12-01,71.1
2024-12-02,69.2
2024-12-03,64.1
2024-12-04,58.9
2024-12-05,61.1
2024-12-06,52.1
2024-12-07,47.9
2024-12-08,60.2
2024-12-09,84.8
2024-12-10,61.1
2024-12-11,64.1
2024-12-12,65.9
2024-12-13,65.9
2024-12-14,78.2
2024-12-15,80.1
2024-12-16,80.1
2024-12-17,80.1
2024-12-18,69.2
2024-12-19,69.2
2024-12-20,67.9
2024-12-21,63.0
2024-12-22,70.1
2024-12-23,76.9
2024-12-24,76.9
2024-12-25,61.1
2024-12-26,78.2
2024-12-27,81.0
2024-12-28,82.1
2024-12-29,76.9
2024-12-30,85.9
2024-12-31,67.9
2025-01-01,60.2
2025-01-02,63.0
2025-01-03,66.8
2025-01-04,73.1
2025-01-05,74.9
2025-01-06,46.1
2025-01-07,47.9
2025-01-08,40.9
2025-01-09,40.9
2025-01-10,44.1
2025-01-11,58.9
2025-01-12,63.0
2025-01-13,56.9
2025-01-14,55.1
2025-01-15,63.0
2025-01-16,65.9
2025-01-17,61.1
2025-01-18,61.1
2025-01-19,43.1
2025-01-20,34.1
2025-01-21,38.0
2025-01-22,49.9
2025-01-23,55.1
2025-01-24,58.9
2025-01-25,57.8
2025-01-26,55.1
2025-01-27,53.1
2025-01-28,53.1
2025-01-29,70.1
2025-01-30,69.2
2025-01-31,73.1
2025-02-01,74.9
2025-02-02,80.1
2025-02-03,83.9
2025-02-04,82.1
2025-02-05,76.9
2025-02-06,82.1
2025-02-07,80.1
2025-02-08,87.2
2025-02-09,70.1
2025-02-10,51.2
2025-02-11,52.1
2025-02-12,54.0
2025-02-13,46.1
2025-02-14,47.0
2025-02-15,72.0
2025-02-16,55.1
2025-02-17,62.1
2025-02-18,61.1
2025-02-19,29.9
2025-02-20,36.0
2025-02-21,38.0
2025-02-22,40.9
2025-02-23,64.1
2025-02-24,74.9
2025-02-25,76.9
2025-02-26,82.1
2025-02-27,67.9
2025-02-28,76.9
2025-03-01,83.0
2025-03-02,79.1
2025-03-03,78.0
